Page,Device,Group,ItemID,Item,Value
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Фирма,Intel Corporation
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Информация о продукте,http://ark.intel.com/search.aspx?q=Intel%20Core%20i5-4570
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип,Internal
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Максимальный объём,256 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Установленный объём,256 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип разъёма,CPU Internal L1
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Максимальный объём,1 МБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Установленный объём,1 МБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип разъёма,CPU Internal L2
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Ассоциативность,12-way Set-Associative
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Максимальный объём,6 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Установленный объём,6 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип разъёма,CPU Internal L3
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Размещение,Motherboard
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Функция массива памяти,System Memory
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Коррекция ошибок,None
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Макс. объём памяти,16 ГБ
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Устройства памяти,2
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размер,8 ГБ
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Макс. частота,1600 MT/s
