Page,Device,Group,ItemID,Item,Value
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_3
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_3,Свойства системного разъёма,0,Длина,Short
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Тип порта,Keyboard Port
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внутреннее обозначение,PS/2 Mouse
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внешнее обозначение,PS/2 Mouse
DMI,Разъёмы портов / PS/2 Mouse,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Тип порта,Keyboard Port
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внутреннее обозначение,PS/2 Keyboard
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внешнее обозначение,PS/2 Keyboard
DMI,Разъёмы портов / PS/2 Keyboard,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внутреннее обозначение,USB3_E12
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внешнее обозначение,USB3_E12
DMI,Разъёмы портов / USB3_E12,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внутреннее обозначение,LAN_USB34
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внешнее обозначение,LAN_USB34
DMI,Разъёмы портов / LAN_USB34,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внутреннее обозначение,USB5_6
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внешнее обозначение,USB5_6
DMI,Разъёмы портов / USB5_6,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Тип порта,Network Port
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внутреннее обозначение,GbE LAN
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внешнее обозначение,GbE LAN
DMI,Разъёмы портов / GbE LAN,Свойства разъёма порта,0,Внешний тип разъёма,RJ-45
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Тип порта,Audio Port
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внутреннее обозначение,AUDIO
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / AUDIO,Свойства разъёма порта,0,Внешнее обозначение,AUDIO
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внутреннее обозначение,DVI
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / DVI port,Свойства разъёма порта,0,Внешнее обозначение,DVI port
DMI,Разъёмы портов / VGA port,Свойства разъёма порта,0,Внутреннее обозначение,VGA
