Page,Device,Group,ItemID,Item,Value
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Тип,Central Processor
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Напряжение питания,0.9 V
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Статус,Enabled
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Установка,Socket BGA1168
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Тип разъёма,U3E1
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,HTT / CMP Units,2 / 2
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Свойства процессора,0,Возможности,64-bit; Multi-Core; Multiple Hardware Threads; Execute Protection; Enhanced Virtualization; Power/Performance Control
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Производитель ЦП,0,Фирма,Intel Corporation
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Производитель ЦП,0,Информация о продукте,http://ark.intel.com/search.aspx?q=Intel%20Core%20i5-5200U
DMI,Процессоры / Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Производитель ЦП,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Тип,Data
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Максимальный объём,32 КБ
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Установленный объём,32 КБ
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Поддерживаемый тип SRAM,Asynchronous
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Текущий тип SRAM,Asynchronous
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Коррекция ошибок,Parity
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Тип разъёма,L1 Cache
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Тип,Instruction
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Максимальный объём,32 КБ
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Установленный объём,32 КБ
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Поддерживаемый тип SRAM,Asynchronous
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Текущий тип SRAM,Asynchronous
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Коррекция ошибок,Parity
DMI,Кэш-память / L1 Cache,Свойства кэша,0,Тип разъёма,L1 Cache
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Максимальный объём,256 КБ
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Установленный объём,256 КБ
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Поддерживаемый тип SRAM,Asynchronous
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Текущий тип SRAM,Asynchronous
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / L2 Cache,Свойства кэша,0,Тип разъёма,L2 Cache
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Ассоциативность,12-way Set-Associative
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Максимальный объём,3 МБ
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Установленный объём,3 МБ
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Поддерживаемый тип SRAM,Asynchronous
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Текущий тип SRAM,Asynchronous
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Коррекция ошибок,Multi-bit ECC
DMI,Кэш-память / L3 Cache,Свойства кэша,0,Тип разъёма,L3 Cache
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Размещение,Motherboard
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Функция массива памяти,System Memory
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Коррекция ошибок,None
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Макс. объём памяти,16 ГБ
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Устройства памяти,2
DMI,Устройства памяти / Bottom-Slot 1(left),Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / Bottom-Slot 1(left),Свойства устройства памяти,0,Размещение,Bottom-Slot 1(left)
DMI,Устройства памяти / Bottom-Slot 1(left),Свойства устройства памяти,0,Банк,BANK 0
DMI,Устройства памяти / Bottom-Slot 1(left),Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Форм-фактор,SODIMM
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Размер,4 ГБ
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Макс. частота,1600 MT/s
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Размещение,Bottom-Slot 2(right)
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Банк,BANK 2
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Производитель,Hynix/Hyundai
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Серийный номер,25121018
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / Bottom-Slot 2(right),Свойства устройства памяти,0,Шифр компонента,HMT451S6AFR8A-PB
DMI,Системные разъёмы / PCI SLOT1,Свойства системного разъёма,0,Назначение разъёма,PCI SLOT1
DMI,Системные разъёмы / PCI SLOT1,Свойства системного разъёма,0,Тип,PCI
DMI,Системные разъёмы / PCI SLOT1,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCI SLOT1,Свойства системного разъёма,0,Ширина шины данных,32-bit
DMI,Системные разъёмы / PCI SLOT1,Свойства системного разъёма,0,Длина,Long
DMI,Разъёмы портов / Primary HDD Bay,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / Primary HDD Bay,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port0
DMI,Разъёмы портов / Primary HDD Bay,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Primary HDD Bay,Свойства разъёма порта,0,Внешнее обозначение,Primary HDD Bay
DMI,Разъёмы портов / Primary HDD Bay,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Docking Station Upgrade Bay,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / Docking Station Upgrade Bay,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port5
DMI,Разъёмы портов / Docking Station Upgrade Bay,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Docking Station Upgrade Bay,Свойства разъёма порта,0,Внешнее обозначение,Docking Station Upgrade Bay
DMI,Разъёмы портов / Docking Station Upgrade Bay,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / eSATA,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / eSATA,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port4
DMI,Разъёмы портов / eSATA,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / eSATA,Свойства разъёма порта,0,Внешнее обозначение,eSATA
DMI,Разъёмы портов / eSATA,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Docking Station eSATA,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / Docking Station eSATA,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port3
DMI,Разъёмы портов / Docking Station eSATA,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Docking Station eSATA,Свойства разъёма порта,0,Внешнее обозначение,Docking Station eSATA
DMI,Разъёмы портов / Docking Station eSATA,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / mSATA,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / mSATA,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port2
DMI,Разъёмы портов / mSATA,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / mSATA,Свойства разъёма порта,0,Внешнее обозначение,mSATA
DMI,Разъёмы портов / mSATA,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Upgrade Bay,Свойства разъёма порта,0,Тип порта,SATA
DMI,Разъёмы портов / Upgrade Bay,Свойства разъёма порта,0,Внутреннее обозначение,Ctrl0Port1
DMI,Разъёмы портов / Upgrade Bay,Свойства разъёма порта,0,Внутренний тип разъёма,SATA/SAS Plug Receptacle
DMI,Разъёмы портов / Upgrade Bay,Свойства разъёма порта,0,Внешнее обозначение,Upgrade Bay
DMI,Разъёмы портов / Upgrade Bay,Свойства разъёма порта,0,Внешний тип разъёма,SATA/SAS Plug Receptacle
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Описание,128
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Тип,Video
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Статус,Enabled
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Описание,128
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Тип,Video
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Статус,Enabled
DMI,Встроенные устройства / 128,Свойства встроенного устройства,0,Шина / Устройство / Функция,0 / 2 / 0
DMI,Встроенные устройства / WLAN,Свойства встроенного устройства,0,Описание,WLAN
DMI,Встроенные устройства / WLAN,Свойства встроенного устройства,0,Тип,Ethernet
DMI,Встроенные устройства / WLAN,Свойства встроенного устройства,0,Статус,Enabled
DMI,Встроенные устройства / WLAN,Свойства встроенного устройства,0,Шина / Устройство / Функция,9 / 0 / 0
DMI,Батареи / VI04040XL,Свойства батареи,0,Имя устройства,VI04040XL
DMI,Батареи / VI04040XL,Свойства батареи,0,Производитель,33-24
DMI,Батареи / VI04040XL,Свойства батареи,0,Дата выпуска,22.03.2015
DMI,Батареи / VI04040XL,Свойства батареи,0,Серийный номер,691
DMI,Батареи / VI04040XL,Свойства батареи,0,Размещение,Primary
DMI,Батареи / VI04040XL,Свойства батареи,0,Тип батареи,LION
DMI,Батареи / VI04040XL,Свойства батареи,0,Паспортная ёмкость,40100 mWh
DMI,Батареи / VI04040XL,Свойства батареи,0,Паспортное напряжение,14.800 V
DMI,Батареи / VI04040XL,Свойства батареи,0,Версия SDDS,1.1
DMI,Intel vPro,Свойства Intel vPro,0,Версия ME-прошивки,10.0.30.1072
DMI,Intel vPro,Свойства Intel vPro,0,PCH PCI Bus / Device / Function,0 / 31 / 0
DMI,Intel vPro,Свойства Intel vPro,0,PCH PCI Device ID,8086-9CC3
DMI,Intel vPro,Свойства Intel vPro,0,Wired NIC PCI Bus / Device / Function,8 / 28 / 2
DMI,Intel vPro,Свойства Intel vPro,0,Wired NIC PCI Device ID,8086-FFFF
DMI,Intel vPro,Свойства Intel vPro,0,Wireless NIC PCI Device ID,8086-1604
DMI,Intel vPro,Свойства Intel vPro,0,AMT,Не поддерживается
