Page,Device,Group,ItemID,Item,Value
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Макс. напряжение,1.500 V
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Текущее напряжение,1.500 V
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размещение,ChannelA-DIMM0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Банк,BANK 0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Производитель,0423
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Серийный номер,01046EBF
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Шифр компонента,TEAMGROUP-UD3-1600
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Размещение,ChannelA-DIMM1
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Банк,BANK 1
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Производитель,[Empty]
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Серийный номер,[Empty]
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelA-DIMM1,Свойства устройства памяти,0,Шифр компонента,[Empty]
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Размер,8 ГБ
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Макс. частота,1600 MT/s
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Текущая частота,1333 MT/s
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Ranks,2
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Мин. напряжение,1.500 V
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Макс. напряжение,1.500 V
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Текущее напряжение,1.500 V
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Размещение,ChannelB-DIMM0
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Банк,BANK 2
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Производитель,0423
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Серийный номер,01046EB4
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Шифр компонента,TEAMGROUP-UD3-1600
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Размещение,ChannelB-DIMM1
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Банк,BANK 3
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Производитель,[Empty]
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Серийный номер,[Empty]
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelB-DIMM1,Свойства устройства памяти,0,Шифр компонента,[Empty]
DMI,Системные разъёмы / J6B2,Свойства системного разъёма,0,Назначение разъёма,J6B2
DMI,Системные разъёмы / J6B2,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J6B2,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J6B2,Свойства системного разъёма,0,Ширина шины данных,x16
DMI,Системные разъёмы / J6B2,Свойства системного разъёма,0,Длина,Long
DMI,Системные разъёмы / J6B1,Свойства системного разъёма,0,Назначение разъёма,J6B1
DMI,Системные разъёмы / J6B1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J6B1,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J6B1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / J6B1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / J6D1,Свойства системного разъёма,0,Назначение разъёма,J6D1
DMI,Системные разъёмы / J6D1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J6D1,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J6D1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / J6D1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / J7B1,Свойства системного разъёма,0,Назначение разъёма,J7B1
DMI,Системные разъёмы / J7B1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J7B1,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J7B1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / J7B1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / J8B4,Свойства системного разъёма,0,Назначение разъёма,J8B4
DMI,Системные разъёмы / J8B4,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J8B4,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J8B4,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / J8B4,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / J8D1,Свойства системного разъёма,0,Назначение разъёма,J8D1
DMI,Системные разъёмы / J8D1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / J8D1,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J8D1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / J8D1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / J8B3,Свойства системного разъёма,0,Назначение разъёма,J8B3
DMI,Системные разъёмы / J8B3,Свойства системного разъёма,0,Тип,PCI
DMI,Системные разъёмы / J8B3,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / J8B3,Свойства системного разъёма,0,Ширина шины данных,32-bit
DMI,Системные разъёмы / J8B3,Свойства системного разъёма,0,Длина,Short
DMI,Разъёмы портов / PS2Mouse,Свойства разъёма порта,0,Тип порта,Mouse Port
DMI,Разъёмы портов / PS2Mouse,Свойства разъёма порта,0,Внутреннее обозначение,J1A1
DMI,Разъёмы портов / PS2Mouse,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / PS2Mouse,Свойства разъёма порта,0,Внешнее обозначение,PS2Mouse
DMI,Разъёмы портов / PS2Mouse,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / Keyboard,Свойства разъёма порта,0,Тип порта,Keyboard Port
DMI,Разъёмы портов / Keyboard,Свойства разъёма порта,0,Внутреннее обозначение,J1A1
DMI,Разъёмы портов / Keyboard,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / Keyboard,Свойства разъёма порта,0,Внешнее обозначение,Keyboard
DMI,Разъёмы портов / Keyboard,Свойства разъёма порта,0,Внешний тип разъёма,PS/2
DMI,Разъёмы портов / TV Out,Свойства разъёма порта,0,Внутреннее обозначение,J2A1
DMI,Разъёмы портов / TV Out,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / TV Out,Свойства разъёма порта,0,Внешнее обозначение,TV Out
DMI,Разъёмы портов / TV Out,Свойства разъёма порта,0,Внешний тип разъёма,Mini-Centronics Type-14
DMI,Разъёмы портов / COM A,Свойства разъёма порта,0,Тип порта,Serial Port 16550A Compatible
DMI,Разъёмы портов / COM A,Свойства разъёма порта,0,Внутреннее обозначение,J2A2A
DMI,Разъёмы портов / COM A,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / COM A,Свойства разъёма порта,0,Внешнее обозначение,COM A
DMI,Разъёмы портов / COM A,Свойства разъёма порта,0,Внешний тип разъёма,DB-9 pin male
DMI,Разъёмы портов / Video,Свойства разъёма порта,0,Тип порта,Video Port
DMI,Разъёмы портов / Video,Свойства разъёма порта,0,Внутреннее обозначение,J2A2B
DMI,Разъёмы портов / Video,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / Video,Свойства разъёма порта,0,Внешнее обозначение,Video
DMI,Разъёмы портов / Video,Свойства разъёма порта,0,Внешний тип разъёма,DB-15 pin female
DMI,Разъёмы портов / USB1,Свойства разъёма порта,0,Тип порта,USB
DMI,Разъёмы портов / USB1,Свойства разъёма порта,0,Внутреннее обозначение,J3A1
DMI,Разъёмы портов / USB1,Свойства разъёма порта,0,Внутренний тип разъёма,None
DMI,Разъёмы портов / USB1,Свойства разъёма порта,0,Внешнее обозначение,USB1
DMI,Разъёмы портов / USB1,Свойства разъёма порта,0,Внешний тип разъёма,USB
DMI,Разъёмы портов / J9A1 - TPM HDR,Свойства разъёма порта,0,Внутреннее обозначение,J9A1 - TPM HDR
DMI,Разъёмы портов / J9A1 - TPM HDR,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J9C1 - PCIE DOCKING CONN,Свойства разъёма порта,0,Внутреннее обозначение,J9C1 - PCIE DOCKING CONN
DMI,Разъёмы портов / J9C1 - PCIE DOCKING CONN,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J2B3 - CPU FAN,Свойства разъёма порта,0,Внутреннее обозначение,J2B3 - CPU FAN
DMI,Разъёмы портов / J2B3 - CPU FAN,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J6C2 - EXT HDMI,Свойства разъёма порта,0,Внутреннее обозначение,J6C2 - EXT HDMI
DMI,Разъёмы портов / J6C2 - EXT HDMI,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J3C1 - GMCH FAN,Свойства разъёма порта,0,Внутреннее обозначение,J3C1 - GMCH FAN
DMI,Разъёмы портов / J3C1 - GMCH FAN,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J1D1 - ITP,Свойства разъёма порта,0,Внутреннее обозначение,J1D1 - ITP
DMI,Разъёмы портов / J1D1 - ITP,Свойства разъёма порта,0,Внешний тип разъёма,None
DMI,Разъёмы портов / J9E2 - MDC INTPSR,Свойства разъёма порта,0,Внутреннее обозначение,J9E2 - MDC INTPSR
